NOME_CURSO,ESCOLAS_CURSO,RESPONDENT_STUDENT_NUMBER,RESPONDENT_GENDER,RESPONDENT_AGE,NACIONALIDADE_1,CONCELHO_DE_RESIDENCIA,DISTRITO_DE_RESIDENCIA,DESLOCADO_AREA_RESIDENCIA,ANO_CONCLUSAO_DA_HABILITACAO_ANTERIOR,NOTA_CONCLUSAO_HABILITACAO_ANTERIOR,FREQUENTA_OUTROS_CURSOS_EM_SIMULTANEO,ESTATUTO_TRABALHADOR_ESTUDANTE,NIVEL_ESCOLARIDADE_PAI,NIVEL_ESCOLARIDADE_MAE,CONDICAO_PROFISSIONAL_PAI,CONDICAO_PROFISSIONAL_MAE,HABILITACAO_ACADEMICA_ANTERIOR,FREQUENCIA_PERIODO_DIA,TEMPO_PARCIAL,CONDICAO_PROFISSIONAL_ALUNO,SCHOLARSHIP_GRANT_OWNER,1-1,1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,1-10,1-11 MOTIVAÇÕES E EXPETATIVAS,1-12,1-13.1 MOTIVAÇÕES E EXPETATIVAS,1-13.2 MOTIVAÇÕES E EXPETATIVAS,1-13.3 MOTIVAÇÕES E EXPETATIVAS,1-13.4 MOTIVAÇÕES E EXPETATIVAS,1-13.5 MOTIVAÇÕES E EXPETATIVAS,1-13.6 MOTIVAÇÕES E EXPETATIVAS,1-13.7 MOTIVAÇÕES E EXPETATIVAS,1-13.8 MOTIVAÇÕES E EXPETATIVAS,1-13.9 MOTIVAÇÕES E EXPETATIVAS,1-13.10 MOTIVAÇÕES E EXPETATIVAS,1-13.11 MOTIVAÇÕES E EXPETATIVAS,1-13.12 MOTIVAÇÕES E EXPETATIVAS,1-13.13 MOTIVAÇÕES E EXPETATIVAS,1-13.14 MOTIVAÇÕES E EXPETATIVAS,1-13.15 MOTIVAÇÕES E EXPETATIVAS,1-13.16 MOTIVAÇÕES E EXPETATIVAS,1-13.17 MOTIVAÇÕES E EXPETATIVAS,1-13.18 MOTIVAÇÕES E EXPETATIVAS,1-14,1-15.1 MOTIVAÇÕES E EXPETATIVAS,1-15.2 MOTIVAÇÕES E EXPETATIVAS,1-15.3 MOTIVAÇÕES E EXPETATIVAS,1-15.4 MOTIVAÇÕES E EXPETATIVAS,1-15.5 MOTIVAÇÕES E EXPETATIVAS,1-15.6 MOTIVAÇÕES E EXPETATIVAS,1-15.7 MOTIVAÇÕES E EXPETATIVAS,1-15.8 MOTIVAÇÕES E EXPETATIVAS,1-15.9 MOTIVAÇÕES E EXPETATIVAS,1-15.10 MOTIVAÇÕES E EXPETATIVAS,1-15.11 MOTIVAÇÕES E EXPETATIVAS,1-15.12 MOTIVAÇÕES E EXPETATIVAS,1-15.13 MOTIVAÇÕES E EXPETATIVAS,1-15.14 MOTIVAÇÕES E EXPETATIVAS,1-15.15 MOTIVAÇÕES E EXPETATIVAS,1-16,1-17,1-18,1-19,1-20,1-21,1-22,1-23,1-24,1-25,1-26,1-27,1-28,ESCOLAS_CURSO_NORMALIZED
"Doutoramento em Economia Política, Doutoramento Interdisciplinar",0503; ECSH; 1517,110315,Masculino,33,Portugal,Azambuja,Lisboa,False,2023.0,,False,False,Ensino pós-graduado - Mestrado (Pré Bolonha),Ensino superior - Licenciatura (Bolonha),Trabalha por conta própria - (como empregador),Trabalha por conta de outrem,Ensino pós-graduado - Doutoramento (Bolonha),Tarde,False,Trabalha por conta de outrem,Estudante sem bolsa,2.0,1.0,2.0,1.0,,3.0,,1.0,,Docente convidado no ISCTE.,"8, 2, 1",,2.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,1.0,3.0,2.0,2.0,4.0,4.0,1.0,4.0,3.0,1.0,,5.0,4.0,3.0,4.0,2.0,66.0,66.0,4.0,4.0,4.0,3.0,3.0,1.0,4.0,1.0,,3.0,1.0,2.0,9,,"8, 1, 11",,"4, 2",,1.0,,Gostava de fazer investigação e ensinar economia política.,"['0503', 'ECSH', '1517']"
Doutoramento em Ciência Política,ESPP,71988,Masculino,49,Angola,,,True,2016.0,16.0,False,False,2º Ciclo do Ensino Básico ou Equivalente - 6º ano de escolaridade  (antigo 2º ano liceal ou ciclo preparatório),1º Ciclo do Ensino Básico ou Equivalente - 4º ano de escolaridade (antiga 4ª classe),Outra situação,Reformado/a,Ensino pós-graduado - Mestrado (Bolonha),Noite,False,Trabalha por conta de outrem,Estudante sem bolsa,2.0,1.0,2.0,1.0,,3.0,,1.0,,Professor do ensino Secundário e Superior,"9, 4, 3, 1",,5.0,5.0,66.0,4.0,1.0,5.0,5.0,5.0,66.0,5.0,5.0,5.0,5.0,2.0,5.0,66.0,5.0,66.0,,5.0,3.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,66.0,5.0,1.0,,4.0,1.0,2.0,"9, 8, 3",,"5, 3, 1, 11, 10, 9",,"4, 3",,1.0,,depois de terminar o meu doutoramento gostaria de continuar a trabalhar no ensino superior e sobretudo na  investigação científica e prestar serviços à partidos políticos no que a política partidária diz respeito.,['ESPP']
Doutoramento em Ciências e Tecnologias da Informação,ISTA,134476,Masculino,42,Portugal,Lisboa,Lisboa,False,2007.0,,False,False,Ensino superior - Bacharelato/Licenciatura (Pré Bolonha),Ensino superior - Bacharelato/Licenciatura (Pré Bolonha),Outra situação,Reformado/a,Ensino pós-graduado - Mestrado (Bolonha),Noite,False,Trabalha por conta própria - independente (sem empregados),Estudante sem bolsa,2.0,2.0,1.0,2.0,,1.0,-,,,"UX, Service Design & Research Consultant","5, 3, 2",,5.0,4.0,66.0,66.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,66.0,66.0,-,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,66.0,66.0,,1.0,1.0,2.0,"9, 4, 2",-,"8, 5, 1",-,"4, 3, 2",,2.0,-,Service Design & Research Consultant,['ISTA']
Doutoramento em Políticas Públicas,ESPP,133729,Masculino,25,Portugal,Paços de Ferreira,Porto,True,2025.0,,False,False,2º Ciclo do Ensino Básico ou Equivalente - 6º ano de escolaridade  (antigo 2º ano liceal ou ciclo preparatório),2º Ciclo do Ensino Básico ou Equivalente - 6º ano de escolaridade  (antigo 2º ano liceal ou ciclo preparatório),Reformado/a,Reformado/a,Ensino pós-graduado - Mestrado (Bolonha),Noite,False,Trabalha por conta de outrem,Estudante sem bolsa,2.0,1.0,1.0,2.0,,3.0,,3.0,,Engenheiro mecânico,"9, 2, 6",,4.0,5.0,1.0,5.0,5.0,5.0,4.0,5.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,,5.0,4.0,4.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,66.0,,2.0,2.0,2.0,10,,8,,4,,2.0,,Ministerio do governo,['ESPP']
Doutoramento em Ciências e Tecnologias da Informação,ISTA,134415,Masculino,29,Paquistão,Huddersfield,,False,2023.0,54.0,False,False,Ensino Secundário - 12º ano de escolaridade ou equivalente,Ensino médio,Reformado/a,Desempregado/a,Ensino pós-graduado - Mestrado (Bolonha),Noite,False,Trabalha por conta própria - independente (sem empregados),Estudante sem bolsa,2.0,2.0,2.0,2.0,,1.0,,,,Machine Learning Engineer,"5, 4, 2",,5.0,5.0,66.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,66.0,,5.0,4.0,4.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,66.0,,2.0,1.0,1.0,"2, 1",,"2, 1, 10",,2,,1.0,,,['ISTA']
Doutoramento em Arquitectura dos Territórios Metropolitanos Contemporâneos,ISTA,134482,Masculino,39,Portugal,Sintra,Lisboa,True,2012.0,12.0,False,False,Desconhecido,Desconhecido,Outra situação,Reformado/a,Licenciatura de Mestrado Integrado,Noite,False,Trabalha por conta de outrem,Bolseiro da Acção Social do Ensino Superior,2.0,2.0,2.0,2.0,,3.0,,5.0,Entidade Pública Empresarial,Arquiteto/Gestor de Contrato,"5, 4, 3",,4.0,4.0,66.0,66.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,2.0,66.0,,5.0,5.0,5.0,5.0,5.0,1.0,3.0,5.0,5.0,5.0,4.0,3.0,4.0,2.0,66.0,,1.0,1.0,2.0,"8, 7, 5",,"8, 5, 4, 1",,"3, 2",,2.0,,em algum cargo de administração pública,['ISTA']
"Doutoramento em Economia Política, Doutoramento Interdisciplinar",0503; ECSH; 1517,120849,Masculino,23,Portugal,Odivelas,Lisboa,False,2025.0,,True,False,1º Ciclo do Ensino Básico ou Equivalente - 4º ano de escolaridade (antiga 4ª classe),2º Ciclo do Ensino Básico ou Equivalente - 6º ano de escolaridade  (antigo 2º ano liceal ou ciclo preparatório),Reformado/a,Outra situação,Ensino pós-graduado - Mestrado (Bolonha),Tarde,False,Trabalha por conta de outrem,Bolseiro da Acção Social do Ensino Superior,2.0,1.0,2.0,2.0,,3.0,,3.0,,Trabalhador de retalho,"4, 2, 1",,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,2.0,4.0,4.0,1.0,,5.0,5.0,4.0,5.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,2.0,4.0,1.0,,4.0,1.0,2.0,"9, 7, 4, 1",,"7, 6, 5, 1",,"4, 3",,1.0,,Investigação académica e docência.,"['0503', 'ECSH', '1517']"
"Doutoramento em Economia Política, Doutoramento Interdisciplinar",0503; ECSH; 1517,84831,Feminino,29,Portugal,Lisboa,Lisboa,False,2023.0,15.0,False,True,Ensino superior - Bacharelato/Licenciatura (Pré Bolonha),Ensino superior - Bacharelato,Trabalha por conta de outrem,Trabalha por conta própria - independente (sem empregados),Ensino pós-graduado - Mestrado (Bolonha),Tarde,False,Trabalha por conta de outrem,Estudante sem bolsa,1.0,2.0,2.0,2.0,,3.0,,1.0,,Science manager,"5, 3",,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,66.0,3.0,4.0,66.0,4.0,5.0,3.0,5.0,5.0,66.0,,5.0,5.0,2.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0,3.0,3.0,5.0,66.0,,4.0,1.0,2.0,"8, 6, 2",,"3, 1",,2,,4.0,,,"['0503', 'ECSH', '1517']"
Doutoramento em Estudos Internacionais,ESPP,134470,Masculino,25,Itália,Bari,,False,2024.0,16.0,False,False,Ensino pós-graduado - Mestrado (Pré Bolonha),Ensino pós-graduado - Mestrado (Pré Bolonha),Reformado/a,Desempregado/a,Ensino pós-graduado - Mestrado (Bolonha),,False,"Aluno, estudante",Estudante sem bolsa,2.0,1.0,1.0,1.0,,4.0,,,,Desempregado,"8, 3, 1",,2.0,5.0,1.0,1.0,5.0,5.0,1.0,5.0,5.0,66.0,66.0,66.0,66.0,5.0,66.0,5.0,5.0,66.0,,5.0,5.0,66.0,66.0,66.0,1.0,1.0,66.0,5.0,66.0,66.0,66.0,66.0,5.0,66.0,,3.0,1.0,2.0,"6, 5, 1",,"5, 4, 1",,4,,1.0,,"Ensino, ou pós doutoramento.",['ESPP']
Doutoramento em Gestão,EG,98547,Feminino,23,Portugal,Portimão,Faro,True,2025.0,,False,False,3º Ciclo do Ensino Básico ou Equivalente - 9º ano de escolaridade  (antigo 5º ano liceal ou ensino técnico),Ensino superior - Licenciatura (Bolonha),Trabalha por conta de outrem,Trabalha por conta de outrem,Ensino pós-graduado - Mestrado (Bolonha),,False,"Aluno, estudante",Estudante sem bolsa,1.0,1.0,1.0,1.0,,2.0,,,,Estudante de mestrado,"4, 1, 6",,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,3.0,3.0,66.0,,5.0,4.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,66.0,,3.0,1.0,2.0,"9, 7, 4",,"8, 5, 4",,"4, 3",,1.0,,,['EG']
