NOME_CURSO,ESCOLAS_CURSO,RESPONDENT_STUDENT_NUMBER,RESPONDENT_GENDER,RESPONDENT_AGE,NACIONALIDADE_1,CONCELHO_DE_RESIDENCIA,DISTRITO_DE_RESIDENCIA,DESLOCADO_AREA_RESIDENCIA,ANO_CONCLUSAO_DA_HABILITACAO_ANTERIOR,NOTA_CONCLUSAO_HABILITACAO_ANTERIOR,FREQUENTA_OUTROS_CURSOS_EM_SIMULTANEO,ESTATUTO_TRABALHADOR_ESTUDANTE,NIVEL_ESCOLARIDADE_PAI,NIVEL_ESCOLARIDADE_MAE,CONDICAO_PROFISSIONAL_PAI,CONDICAO_PROFISSIONAL_MAE,HABILITACAO_ACADEMICA_ANTERIOR,FREQUENCIA_PERIODO_DIA,TEMPO_PARCIAL,CONDICAO_PROFISSIONAL_ALUNO,SCHOLARSHIP_GRANT_OWNER,1-1,1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,1-10,1-11 MOTIVAÇÕES E EXPETATIVAS,1-12,1-13.1 MOTIVAÇÕES E EXPETATIVAS,1-13.2 MOTIVAÇÕES E EXPETATIVAS,1-13.3 MOTIVAÇÕES E EXPETATIVAS,1-13.4 MOTIVAÇÕES E EXPETATIVAS,1-13.5 MOTIVAÇÕES E EXPETATIVAS,1-13.6 MOTIVAÇÕES E EXPETATIVAS,1-13.7 MOTIVAÇÕES E EXPETATIVAS,1-13.8 MOTIVAÇÕES E EXPETATIVAS,1-13.9 MOTIVAÇÕES E EXPETATIVAS,1-13.10 MOTIVAÇÕES E EXPETATIVAS,1-13.11 MOTIVAÇÕES E EXPETATIVAS,1-13.12 MOTIVAÇÕES E EXPETATIVAS,1-13.13 MOTIVAÇÕES E EXPETATIVAS,1-13.14 MOTIVAÇÕES E EXPETATIVAS,1-13.15 MOTIVAÇÕES E EXPETATIVAS,1-13.16 MOTIVAÇÕES E EXPETATIVAS,1-13.17 MOTIVAÇÕES E EXPETATIVAS,1-13.18 MOTIVAÇÕES E EXPETATIVAS,1-14,1-15.1 MOTIVAÇÕES E EXPETATIVAS,1-15.2 MOTIVAÇÕES E EXPETATIVAS,1-15.3 MOTIVAÇÕES E EXPETATIVAS,1-15.4 MOTIVAÇÕES E EXPETATIVAS,1-15.5 MOTIVAÇÕES E EXPETATIVAS,1-15.6 MOTIVAÇÕES E EXPETATIVAS,1-15.7 MOTIVAÇÕES E EXPETATIVAS,1-15.8 MOTIVAÇÕES E EXPETATIVAS,1-15.9 MOTIVAÇÕES E EXPETATIVAS,1-15.10 MOTIVAÇÕES E EXPETATIVAS,1-15.11 MOTIVAÇÕES E EXPETATIVAS,1-15.12 MOTIVAÇÕES E EXPETATIVAS,1-15.13 MOTIVAÇÕES E EXPETATIVAS,1-15.14 MOTIVAÇÕES E EXPETATIVAS,1-15.15 MOTIVAÇÕES E EXPETATIVAS,1-16,1-17,1-18,1-19,1-20,1-21,1-22,1-23,1-24,1-25,1-26,1-27,1-28,ESCOLAS_CURSO_NORMALIZED
Doutoramento em Gestão Empresarial Aplicada,EG,121554,Masculino,44,Zimbábue,,,True,2009.0,3.75,False,False,Licenciatura de Mestrado Integrado,Ensino superior - Bacharelato,Reformado/a,Trabalha por conta própria - (como empregador),Outro,Manhã,False,Trabalha por conta de outrem,Estudante sem bolsa,2.0,1.0,2.0,1.0,,1.0,,,,Private Equity Manager,"4, 3, 6",,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,Affirmitive,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,1.0,Affirmitive,3.0,1.0,2.0,"8, 2, 10",Affirmitive,"7, 3, 10",,"4, 1",Affirmitive,3.0,Affirmitive,Continuance of current career,['EG']
Doutoramento em Estudos Internacionais,ESPP,135152,Feminino,25,Filipinas,Makati,,False,2022.0,3.044,False,False,Ensino pós-graduado - Mestrado (Pré Bolonha),Ensino superior - Bacharelato,Trabalha por conta de outrem,Trabalha por conta de outrem,Ensino superior - Bacharelato,,False,"Aluno, estudante",Estudante sem bolsa,1.0,1.0,1.0,1.0,,2.0,,,,Student,"10, 9, 1",,4.0,5.0,66.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,66.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,66.0,,3.0,1.0,2.0,"5, 4, 3",,"8, 5, 1",,"4, 3",,1.0,,,['ESPP']
Doutoramento em Políticas de Administração e Gestão Escolar,ESPP,131347,Masculino,53,Portugal,Setúbal,Setúbal,False,2023.0,18.0,False,True,3º Ciclo do Ensino Básico ou Equivalente - 9º ano de escolaridade  (antigo 5º ano liceal ou ensino técnico),3º Ciclo do Ensino Básico ou Equivalente - 9º ano de escolaridade  (antigo 5º ano liceal ou ensino técnico),Reformado/a,Reformado/a,Ensino pós-graduado - Mestrado (Bolonha),,False,Trabalha por conta de outrem,Estudante sem bolsa,2.0,2.0,2.0,2.0,,3.0,,2.0,,Professor do ensino básico e secundário,"5, 2, 1",,5.0,4.0,66.0,66.0,2.0,4.0,66.0,66.0,5.0,66.0,2.0,66.0,66.0,5.0,5.0,1.0,3.0,66.0,,5.0,5.0,4.0,4.0,66.0,66.0,5.0,5.0,5.0,5.0,66.0,5.0,5.0,66.0,66.0,,1.0,1.0,2.0,"6, 2",,"4, 1, 11",,2,,1.0,,Investigação nacional e internacional na área educacional/inteligência artificial.,['ESPP']
Doutoramento em Finanças,EG,134291,Masculino,43,Portugal,Seixal,Setúbal,False,2009.0,16.0,False,False,1º Ciclo do Ensino Básico ou Equivalente - 4º ano de escolaridade (antiga 4ª classe),1º Ciclo do Ensino Básico ou Equivalente - 4º ano de escolaridade (antiga 4ª classe),Reformado/a,Reformado/a,Ensino pós-graduado - Mestrado Integrado,Noite,True,Trabalha por conta de outrem,Estudante sem bolsa,2.0,2.0,2.0,3.0,Poderão existir outros estudantes que necessitem mais.,3.0,,3.0,,Gestor,"5, 4, 3",,5.0,2.0,66.0,66.0,66.0,5.0,5.0,5.0,66.0,5.0,5.0,4.0,4.0,4.0,2.0,5.0,3.0,66.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,66.0,,3.0,1.0,1.0,"2, 1",,"5, 4, 1",,"4, 2",,3.0,,Direcção Financeira,['EG']
Doutoramento em Ciências e Tecnologias da Informação,ISTA,122082,Masculino,33,Paquistão,Lisboa,Lisboa,False,2021.0,3.59,False,True,Ensino superior - Bacharelato,Ensino superior - Bacharelato,Reformado/a,Doméstica/o,Ensino pós-graduado - Mestrado (Bolonha),Noite,False,Trabalha por conta de outrem,Estudante sem bolsa,2.0,1.0,2.0,2.0,,2.0,,3.0,,Engineer,"9, 2, 6",,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,5.0,4.0,4.0,5.0,1.0,,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,1.0,1.0,5.0,1.0,,2.0,1.0,2.0,"5, 1, 10",,"8, 4, 1",,"3, 2",,3.0,,Somewhere i can improve the technology and be able to improvise the performance/productivity of the organization by the knowledge and expertise i will learn.,['ISTA']
Doutoramento em Políticas de Administração e Gestão Escolar,ESPP,136318,Feminino,59,Portugal,Lisboa,Lisboa,False,1997.0,,False,False,Ensino superior - Bacharelato/Licenciatura (Pré Bolonha),3º Ciclo do Ensino Básico ou Equivalente - 9º ano de escolaridade  (antigo 5º ano liceal ou ensino técnico),Reformado/a,Reformado/a,Ensino pós-graduado - Mestrado (Pré Bolonha),,False,Trabalha por conta de outrem,Estudante sem bolsa,1.0,2.0,1.0,2.0,,3.0,,2.0,,Técnico Superior da Administração Pública,"7, 4",,4.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,66.0,,5.0,5.0,5.0,4.0,4.0,1.0,4.0,4.0,5.0,5.0,3.0,1.0,1.0,4.0,66.0,,1.0,1.0,2.0,2,,"5, 1",,2,,2.0,,"Manter a minha atividade de assessoria, no que respeita ao desenho e avaliação de políticas públicas na área da educação, prosseguindo com a realização de análises, estudos e avaliações com maior proficiência e saber.",['ESPP']
"Doutoramento em Economia Política, Doutoramento Interdisciplinar",0503; ECSH; 1517,133632,Masculino,46,Portugal,Funchal,Ilha da Madeira,True,2024.0,16.0,False,False,Ensino Secundário - 12º ano de escolaridade ou equivalente,Ensino pós-graduado - Doutoramento (Pré Bolonha),Reformado/a,Reformado/a,Ensino pós-graduado - Mestrado (Bolonha),Tarde,False,Trabalha por conta de outrem,Estudante sem bolsa,2.0,1.0,2.0,2.0,,3.0,,2.0,,Professor/a do ensino  secundário,"7, 4, 2",,5.0,1.0,1.0,1.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0,4.0,5.0,5.0,5.0,3.0,1.0,,5.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,2.0,4.0,3.0,1.0,,3.0,1.0,2.0,"7, 2, 1",,"5, 4, 1",,1,,2.0,,"Eventualmente, colaborar no ensino superior.","['0503', 'ECSH', '1517']"
Doutoramento em Ciências da Comunicação,ESPP,948,Feminino,48,Portugal,Seixal,Setúbal,False,2000.0,14.0,False,False,1º Ciclo do Ensino Básico ou Equivalente - 4º ano de escolaridade (antiga 4ª classe),1º Ciclo do Ensino Básico ou Equivalente - 4º ano de escolaridade (antiga 4ª classe),Reformado/a,Reformado/a,Ensino superior - Bacharelato/Licenciatura (Pré Bolonha),Noite,False,Trabalha por conta de outrem,Estudante sem bolsa,1.0,2.0,2.0,2.0,,3.0,,2.0,,Assessora para a Cultura,"4, 3, 6",,5.0,3.0,5.0,66.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,,5.0,5.0,4.0,5.0,3.0,66.0,5.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0,66.0,,1.0,1.0,2.0,"5, 2, 1",,"8, 5, 1",,"4, 3",,4.0,,Cargo dirigente com poder estratégico sobre politicas culturais,['ESPP']
Doutoramento em Políticas de Administração e Gestão Escolar,ESPP,135237,Feminino,49,Portugal,Sesimbra,Setúbal,False,2011.0,17.0,False,False,1º Ciclo do Ensino Básico ou Equivalente - 4º ano de escolaridade (antiga 4ª classe),1º Ciclo do Ensino Básico ou Equivalente - 4º ano de escolaridade (antiga 4ª classe),Outra situação,Reformado/a,Ensino pós-graduado - Mestrado (Bolonha),Noite,False,Trabalha por conta de outrem,Estudante sem bolsa,1.0,2.0,2.0,2.0,,3.0,,2.0,,Professora de Educação Especial,"4, 1, 6",,5.0,4.0,66.0,66.0,66.0,5.0,5.0,5.0,66.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,66.0,66.0,,5.0,5.0,66.0,5.0,66.0,66.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,66.0,66.0,,4.0,1.0,1.0,"8, 2",,"4, 1, 11",,"4, 3",,1.0,,"Gostaria de ser docente do ensino superior, nomeadamente nos cursos de formação inicial de professores.
Gostaria de continuar a atividade de investigação.",['ESPP']
Doutoramento em Gestão Empresarial Aplicada,EG,134712,Masculino,37,Síria,Amadora,Lisboa,False,2015.0,14.0,False,False,Ensino superior - Bacharelato,Ensino superior - Bacharelato/Licenciatura (Pré Bolonha),Outra situação,Reformado/a,Ensino pós-graduado - Mestrado (Bolonha),Manhã,False,"Aluno, estudante",Estudante sem bolsa,2.0,2.0,2.0,2.0,,2.0,,,,Accountant,"9, 3, 6",,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,,4.0,1.0,2.0,"1, 10",,"7, 4, 1",,4,,3.0,,I'm open to opportunities but mostly I would prefer administrative managerial roles.,['EG']
Doutoramento em Estudos Internacionais,ESPP,136529,Feminino,24,Portugal,Alcochete,Setúbal,False,2024.0,,False,False,Ensino Secundário - 12º ano de escolaridade ou equivalente,Ensino superior - Licenciatura (Bolonha),Trabalha por conta própria - independente (sem empregados),Trabalha por conta própria - (como empregador),Ensino pós-graduado - Mestrado (Bolonha),,False,Trabalha por conta de outrem,Bolseiros da FCT,1.0,2.0,1.0,2.0,,4.0,,,,Historiadora e Investigadora,"11, 2, 1",,4.0,4.0,66.0,66.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,66.0,66.0,,4.0,2.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,66.0,66.0,,2.0,1.0,2.0,"9, 4",,"4, 1, 10",,"4, 3",,1.0,,"Ensino Superior (Professor), Academia (Investigador, Gestão da Ciência, Pós-Doc), Administração Pública e Governação (Diplomacia, Negócios Estrangeiros, Políticas Públicas, Consultoria)",['ESPP']
Doutoramento em Gestão Empresarial Aplicada,EG,137463,Feminino,35,China,Chongqing,,False,2016.0,84.0,False,False,Ensino médio,Ensino médio,Reformado/a,Reformado/a,Outro,Manhã,False,Trabalha por conta de outrem,Bolseiro de Instituição de Ensino Superior Portuguesa (fora do âmbito da acção social),1.0,1.0,2.0,2.0,,3.0,no,1.0,no,University Teacher,"3, 1, 6",,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,1.0,1.0,2.0,10,,"7, 3, 10",,1,,1.0,,I hope to make greater progress in teaching and scientific research.,['EG']
"Doutoramento em Economia Política, Doutoramento Interdisciplinar",0503; ECSH; 1517,134604,Feminino,45,Brasil,Oeiras,Lisboa,True,2024.0,15.0,False,False,Ensino médio,Ensino médio,Outra situação,Outra situação,Ensino pós-graduado - Mestrado (Bolonha),Tarde,False,"Aluno, estudante",Estudante sem bolsa,1.0,1.0,1.0,1.0,,5.0,,,,"Jornalista
Professor","9, 2, 1",,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,66.0,,5.0,5.0,5.0,5.0,5.0,66.0,66.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,66.0,,2.0,1.0,2.0,"9, 8, 7",,"8, 4, 9",,4,,1.0,,Gostaria de consolidar minha carreira como docente dentro do Iscte.,"['0503', 'ECSH', '1517']"
Doutoramento em Administração Pública,ESPP,70384,Feminino,53,Portugal,Cascais,Lisboa,False,2024.0,19.0,False,False,Diploma de Especialização Tecnológica,3º Ciclo do Ensino Básico ou Equivalente - 9º ano de escolaridade  (antigo 5º ano liceal ou ensino técnico),Reformado/a,Reformado/a,Outro,,False,Trabalha por conta própria - independente (sem empregados),Estudante sem bolsa,1.0,1.0,1.0,2.0,Porque reúno as condições de elegibilidade.,1.0,,,,Formadora e Consultora,"9, 3, 1",,5.0,1.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,,5.0,5.0,5.0,5.0,5.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,,1.0,1.0,2.0,"6, 2, 10",,"8, 4, 1",,"4, 3, 2",,1.0,,Ensino superior e investigação na área do Doutoramento e/ou Administração Pública.,['ESPP']
Doutoramento em Ciência Política,ESPP,82343,Feminino,26,Portugal,Lisboa,Lisboa,False,2022.0,17.0,False,True,2º Ciclo do Ensino Básico ou Equivalente - 6º ano de escolaridade  (antigo 2º ano liceal ou ciclo preparatório),Ensino Secundário - 12º ano de escolaridade ou equivalente,Trabalha por conta de outrem,Trabalha por conta de outrem,Ensino pós-graduado - Mestrado (Bolonha),Noite,False,Trabalha por conta de outrem,Estudante sem bolsa,1.0,2.0,2.0,2.0,,3.0,,1.0,,Gestora de Formação,"4, 3, 6",,3.0,4.0,4.0,5.0,66.0,4.0,4.0,3.0,5.0,2.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0,66.0,,4.0,4.0,4.0,4.0,4.0,66.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,66.0,,3.0,1.0,2.0,"6, 4, 2",,"5, 4, 12",,2,,1.0,,"Docência, gestão de formação",['ESPP']
Doutoramento em Ciências e Tecnologias da Informação,ISTA,137075,Masculino,24,Grécia,Lisboa,Lisboa,True,2024.0,8.04,False,False,Ensino superior - Bacharelato,Ensino superior - Bacharelato,Trabalha por conta de outrem,Trabalha por conta de outrem,Ensino pós-graduado - Mestrado Integrado,Noite,False,"Aluno, estudante",Estudante sem bolsa,2.0,2.0,2.0,2.0,,4.0,,,,Electrical and computer engineer,"5, 3, 2",,2.0,4.0,1.0,1.0,1.0,3.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,66.0,,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,5.0,5.0,2.0,66.0,,1.0,1.0,2.0,"7, 6",,"5, 4, 1",,"4, 3",,1.0,,"I would like to work in research, either in a company or in collaboration with a university. Probably starting directly a post-doctoral.",['ISTA']
Doutoramento em Economia,EG; ECSH,133549,Feminino,24,Portugal,Alcanena,Santarém,False,2024.0,15.0,False,False,3º Ciclo do Ensino Básico ou Equivalente - 9º ano de escolaridade  (antigo 5º ano liceal ou ensino técnico),Ensino Secundário - 12º ano de escolaridade ou equivalente,Trabalha por conta própria - (como empregador),Trabalha por conta própria - independente (sem empregados),Ensino pós-graduado - Mestrado (Bolonha),Noite,False,"Aluno, estudante",Estudante sem bolsa,1.0,1.0,2.0,2.0,,2.0,,,,Estudante,"2, 1",,4.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,4.0,4.0,5.0,1.0,5.0,1.0,5.0,4.0,4.0,Únicauniversidade com phd em economics em Lisboa que ainda não tinha frequentado,5.0,4.0,4.0,2.0,5.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,1.0,5.0,5.0,Espero poder ir a conferencias e a escolas de verão com o apoio do isque,4.0,1.0,2.0,"9, 6, 5",,"5, 1, 12",,"4, 3",,1.0,,"Ser professora universitária, investigadora e fazer um pós-doc","['EG', 'ECSH']"
Doutoramento em Ciências da Comunicação,ESPP,113453,Masculino,30,Portugal,,,False,2019.0,16.0,False,False,Ensino Secundário - 12º ano de escolaridade ou equivalente,Ensino Secundário - 12º ano de escolaridade ou equivalente,Trabalha por conta de outrem,Reformado/a,Ensino pós-graduado - Mestrado (Bolonha),Noite,False,Trabalha por conta de outrem,Estudante sem bolsa,2.0,2.0,2.0,2.0,,3.0,,3.0,,Consultor sénior de comunicação,"10, 5, 1",,4.0,4.0,2.0,2.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,66.0,,5.0,5.0,3.0,4.0,4.0,66.0,5.0,5.0,5.0,5.0,3.0,4.0,3.0,5.0,4.0,,1.0,1.0,2.0,"7, 6, 2",,"5, 1",,2,,3.0,,no departamento de comunicação de uma multinacional mas com possibilidade de um cargo internacional,['ESPP']
Doutoramento em Ciências e Tecnologias da Informação,ISTA,127413,Masculino,49,Portugal,Lisboa,Lisboa,False,2005.0,14.0,False,False,Desconhecido,Desconhecido,Reformado/a,Reformado/a,Ensino pós-graduado - Mestrado (Bolonha),Noite,False,Trabalha por conta de outrem,Estudante sem bolsa,2.0,1.0,2.0,2.0,,3.0,,2.0,,Técnico Especialista na Administração Pública,"10, 7, 5",,5.0,3.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,,5.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,,1.0,1.0,2.0,"1, 10",,"5, 4, 1",,2,,2.0,,Data Science,['ISTA']
Doutoramento em Estudos Internacionais,ESPP,134001,Feminino,30,Nigéria,Lisboa,Lisboa,False,2024.0,14.0,False,False,Ensino médio,Ensino médio,Reformado/a,Reformado/a,Ensino pós-graduado - Mestrado (Bolonha),,False,"Aluno, estudante",Estudante sem bolsa,1.0,1.0,2.0,1.0,,2.0,,,,Legal,"3, 2",,4.0,4.0,66.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,66.0,,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,66.0,,1.0,1.0,2.0,"9, 4",,8,,"4, 3",,2.0,,,['ESPP']
Doutoramento em Gestão Empresarial Aplicada,EG,137422,Masculino,42,China,ChengDu,,False,2013.0,84.6,False,False,Ensino médio,Ensino médio,Reformado/a,Reformado/a,Ensino superior - Licenciatura (Bolonha),Manhã,False,Trabalha por conta de outrem,Estudante sem bolsa,2.0,2.0,2.0,1.0,,3.0,,5.0,State-owned Investment enterprise,General Manager,"5, 3",,5.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0,3.0,5.0,4.0,3.0,5.0,3.0,,5.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,,1.0,1.0,2.0,"8, 2",,"7, 4, 3",,1,,5.0,State-owned investment enterprise,"After my doctorate, I hope to further enhance my experience in management practice in my current position, I aim to fully demonstrate the value of my learning and continuously improve the integration of theory and practice.",['EG']
Doutoramento em Gestão,EG,109287,Feminino,24,Portugal,Lisboa,Lisboa,False,2024.0,17.0,False,False,Ensino pós-graduado - Doutoramento (Pré Bolonha),Ensino pós-graduado - Doutoramento (Pré Bolonha),Trabalha por conta de outrem,Trabalha por conta de outrem,Ensino pós-graduado - Mestrado (Bolonha),,False,Trabalha por conta de outrem,Estudante sem bolsa,1.0,1.0,1.0,2.0,,2.0,,,,estudante,"11, 2, 1",,5.0,4.0,5.0,66.0,66.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,66.0,,3.0,1.0,2.0,9,,"7, 4, 1",,4,,1.0,,Após o doutoramento gostaria de ser professora do ensino superior e também fazer investigação,['EG']
Doutoramento em Gestão Empresarial Aplicada,EG,137474,Masculino,41,China,Dongguan,,True,2024.0,3.64,False,False,Ensino superior - Bacharelato/Licenciatura (Pré Bolonha),Ensino superior - Licenciatura (Bolonha),Reformado/a,Reformado/a,Ensino pós-graduado - Mestrado (Bolonha),Manhã,False,Trabalha por conta de outrem,Estudante sem bolsa,2.0,1.0,2.0,2.0,,3.0,,2.0,,Public Sector Manager,"9, 4, 6",,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,66.0,,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,66.0,,1.0,1.0,1.0,"2, 1",,"5, 4, 10",,"4, 3",,3.0,,"After completing my doctorate, I plan to either start my own business or work in a professional consulting firm. My goal is to create a sports brand that develops inclusive products and services tailored for diverse cultural markets, enabling people of all ages and backgrounds to engage more easily in physical activities. Alternatively, I aim to support companies in designing effective marketing strategies and product positioning for cross-cultural markets, helping them expand globally with culturally sensitive and innovative approaches.",['EG']
Doutoramento em Administração Pública,ESPP,103777,Feminino,41,Portugal,Seixal,Setúbal,False,2009.0,16.0,False,False,1º Ciclo do Ensino Básico ou Equivalente - 4º ano de escolaridade (antiga 4ª classe),3º Ciclo do Ensino Básico ou Equivalente - 9º ano de escolaridade  (antigo 5º ano liceal ou ensino técnico),Reformado/a,Trabalha por conta de outrem,Ensino pós-graduado - Mestrado (Bolonha),,False,Trabalha por conta de outrem,Estudante sem bolsa,1.0,2.0,2.0,2.0,,3.0,,1.0,,Gestora de qualidade,"5, 3, 1",,5.0,4.0,66.0,66.0,66.0,4.0,5.0,4.0,66.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,66.0,,5.0,4.0,4.0,4.0,4.0,66.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,66.0,,3.0,1.0,2.0,"5, 2, 1",,"7, 6, 1",,3,,1.0,,Docente no Ensino Superior,['ESPP']
Doutoramento em Transições para a Sustentabilidade,ECSH; ESPP,133731,Feminino,29,Portugal,Lisboa,Lisboa,False,2022.0,13.0,False,False,Ensino superior - Licenciatura (Pré Bolonha),Ensino superior - Licenciatura (Pré Bolonha),Trabalha por conta de outrem,Trabalha por conta de outrem,Ensino pós-graduado - Mestrado Integrado,,False,Trabalha por conta de outrem,Estudante sem bolsa,1.0,2.0,2.0,2.0,,3.0,,3.0,,Médica Veterinária,"4, 3, 1",,5.0,5.0,1.0,1.0,4.0,4.0,5.0,5.0,66.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,66.0,,5.0,4.0,4.0,4.0,4.0,66.0,5.0,66.0,5.0,5.0,5.0,4.0,4.0,66.0,66.0,,3.0,1.0,1.0,10,,"8, 4, 1",,3,,1.0,,Ensino Superior ou Gestão Pública.,"['ECSH', 'ESPP']"
Doutoramento em Serviço Social,ESPP,75921,Masculino,35,Portugal,Amadora,Lisboa,False,2024.0,16.0,False,True,1º Ciclo do Ensino Básico ou Equivalente - 4º ano de escolaridade (antiga 4ª classe),1º Ciclo do Ensino Básico ou Equivalente - 4º ano de escolaridade (antiga 4ª classe),Reformado/a,Reformado/a,Ensino pós-graduado - Mestrado (Bolonha),,False,Trabalha por conta de outrem,Bolseiros da FCT,2.0,1.0,1.0,2.0,,3.0,,2.0,,Assistente Social,"10, 3, 1",,5.0,4.0,4.0,4.0,66.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,66.0,,5.0,5.0,4.0,4.0,4.0,66.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,66.0,,1.0,1.0,2.0,"9, 8, 2",,"8, 6, 1",,"3, 2",,2.0,,Conceção e avaliação de políticas públicas no domínio da intervenção/ação social.,['ESPP']
Doutoramento em Estudos Internacionais,ESPP,136336,Masculino,29,Portugal,Oeiras,Lisboa,False,2020.0,73.25,False,True,Ensino Secundário - 12º ano de escolaridade ou equivalente,Especialização Pós Licenciatura / Pós Graduação,Trabalha por conta de outrem,Trabalha por conta de outrem,Ensino pós-graduado - Mestrado (Bolonha),,False,Trabalha por conta de outrem,Estudante sem bolsa,2.0,2.0,2.0,2.0,,3.0,,3.0,,Moderador de conteúdo online,"7, 4, 6",,2.0,2.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,5.0,1.0,,5.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,,3.0,1.0,2.0,"9, 4, 2",,"8, 9",,"4, 3",,4.0,,"Orrganizações internacionais, diplomacia, ONU.",['ESPP']
